N,time_bellman,time_dijkstra
0,0.018018,0.000043
1,0.015406,0.000056
2,0.015698,0.000151
3,0.017276,0.000076
4,0.017824,0.000078
5,0.015022,0.000101
6,0.015115,0.000137
7,0.015169,0.000082
8,0.015579,0.000129
9,0.014663,0.000051
10,0.014592,0.000117
11,0.015201,0.000069
12,0.014665,0.000149
13,0.014439,0.000044
14,0.015064,0.000021
15,0.014921,0.000157
16,0.015079,0.000044
17,0.015139,0.000026
18,0.015565,0.000042
19,0.014925,0.000157
20,0.017421,0.000226
21,0.017921,0.000101
22,0.016456,0.000146
23,0.015498,0.000045
24,0.015798,0.000046
25,0.015105,0.000122
26,0.014677,0.000122
27,0.016170,0.000385
28,0.018162,0.000107
29,0.015311,0.000182
30,0.016648,0.000078
31,0.017458,0.000188
32,0.019507,0.000052
33,0.014856,0.000073
34,0.016347,0.000192
35,0.017176,0.000185
36,0.016074,0.000048
37,0.014812,0.000182
38,0.014774,0.000058
39,0.015291,0.000179
40,0.014987,0.000048
41,0.015012,0.000047
42,0.017832,0.000146
43,0.015322,0.000145
44,0.015104,0.000088
45,0.014415,0.000157
46,0.014780,0.000134
47,0.015115,0.000088
48,0.014955,0.000136
49,0.018149,0.000047
50,0.016182,0.000031
51,0.015341,0.000090
52,0.014921,0.000140
53,0.015112,0.000182
54,0.014768,0.000033
55,0.014986,0.000181
56,0.014815,0.000197
57,0.017462,0.000026
58,0.015049,0.000051
59,0.014753,0.000094
60,0.015787,0.000244
61,0.014853,0.000086
62,0.015584,0.000164
63,0.015162,0.000146
64,0.018131,0.000240
65,0.014873,0.000189
66,0.015016,0.000074
67,0.014246,0.000154
68,0.015100,0.000128
69,0.014914,0.000151
70,0.015462,0.000154
71,0.015001,0.000171
72,0.017134,0.000104
73,0.014922,0.000165
74,0.014779,0.000094
75,0.015158,0.000066
76,0.015144,0.000089
77,0.014705,0.000112
78,0.014973,0.000184
79,0.018082,0.000147
80,0.016205,0.000078
81,0.014983,0.000180
82,0.015030,0.000189
83,0.014696,0.000105
84,0.014307,0.000120
85,0.014599,0.000132
86,0.015048,0.000024
87,0.017589,0.000119
88,0.015636,0.000089
89,0.015153,0.000081
90,0.015181,0.000037
91,0.015387,0.000130
92,0.015009,0.000155
93,0.015604,0.000160
94,0.018484,0.000140
95,0.015961,0.000132
96,0.016039,0.000135
97,0.016542,0.000182
98,0.016478,0.000112
99,0.015801,0.000098
100,0.016626,0.000144
101,0.018454,0.000274
102,0.016731,0.000037
103,0.015704,0.000046
104,0.015965,0.000029
105,0.015976,0.000185
106,0.016414,0.000126
107,0.015577,0.000022
108,0.017950,0.000023
109,0.018766,0.000154
110,0.015016,0.000138
111,0.015059,0.000145
112,0.015568,0.000171
113,0.014864,0.000130
114,0.014710,0.000294
115,0.019018,0.000143
116,0.018892,0.000040
117,0.015041,0.000128
118,0.015243,0.000092
119,0.014901,0.000273
120,0.015229,0.000131
121,0.014692,0.000102
122,0.015041,0.000199
123,0.017712,0.000039
124,0.015209,0.000124
125,0.015474,0.000142
126,0.015322,0.000125
127,0.015042,0.000182
128,0.015567,0.000117
129,0.014739,0.000145
130,0.017237,0.000045
131,0.016623,0.000043
132,0.015003,0.000155
133,0.015495,0.000017
134,0.014912,0.000036
135,0.015144,0.000129
136,0.014809,0.000146
137,0.015600,0.000186
138,0.017496,0.000097
139,0.015097,0.000041
140,0.014756,0.000142
141,0.015062,0.000087
142,0.014617,0.000101
143,0.014858,0.000090
144,0.015541,0.000153
145,0.017613,0.000149
146,0.016413,0.000246
147,0.015344,0.000154
148,0.015232,0.000125
149,0.015281,0.000120
150,0.015692,0.000036
151,0.016487,0.000034
152,0.017885,0.000057
153,0.015371,0.000090
154,0.015337,0.000137
155,0.018524,0.000197
156,0.017723,0.000045
157,0.016983,0.000175
158,0.021024,0.000230
159,0.019788,0.000441
160,0.022504,0.000481
161,0.022290,0.000489
162,0.023866,0.000151
163,0.021181,0.000489
164,0.021749,0.000411
165,0.020184,0.000129
166,0.016799,0.000168
167,0.019787,0.000067
168,0.017558,0.000172
169,0.018573,0.000243
170,0.018323,0.000098
171,0.017703,0.000173
172,0.015355,0.000169
173,0.016268,0.000097
174,0.018372,0.000113
175,0.014966,0.000232
176,0.014790,0.000038
177,0.015959,0.000128
178,0.016083,0.000113
179,0.014268,0.000045
180,0.016168,0.000095
181,0.017337,0.000097
182,0.015007,0.000161
183,0.015896,0.000067
184,0.014918,0.000047
185,0.014615,0.000212
186,0.015630,0.000104
187,0.023328,0.000139
188,0.017680,0.000151
189,0.020172,0.000033
190,0.020108,0.000024
191,0.022339,0.000048
192,0.021702,0.000189
193,0.017116,0.000114
194,0.020023,0.000201
195,0.016385,0.000162
196,0.014227,0.000045
197,0.014739,0.000102
198,0.016578,0.000059
199,0.014893,0.000063
200,0.015497,0.000018
201,0.014530,0.000217
202,0.014793,0.000100
203,0.014516,0.000037
204,0.015118,0.000030
205,0.017311,0.000151
206,0.016660,0.000154
207,0.015193,0.000048
208,0.015331,0.000180
209,0.014439,0.000013
210,0.016566,0.000092
211,0.015574,0.000050
212,0.018161,0.000171
213,0.016411,0.000158
214,0.015599,0.000128
215,0.015050,0.000152
216,0.015512,0.000166
217,0.014115,0.000108
218,0.014301,0.000209
219,0.014643,0.000161
220,0.017619,0.000038
221,0.014704,0.000083
222,0.014823,0.000131
223,0.013546,0.000131
224,0.014146,0.000192
225,0.014464,0.000153
226,0.015659,0.000091
227,0.018161,0.000129
228,0.015446,0.000166
229,0.020876,0.000207
230,0.022263,0.000315
231,0.015200,0.000065
232,0.017687,0.000177
233,0.020487,0.000188
234,0.020010,0.000236
235,0.021873,0.000186
236,0.022149,0.000046
237,0.017754,0.000111
238,0.015653,0.000118
239,0.014824,0.000175
240,0.013568,0.000150
241,0.013631,0.000026
242,0.015091,0.000043
243,0.016762,0.000098
244,0.014278,0.000109
245,0.014579,0.000097
246,0.014678,0.000108
247,0.014667,0.000053
248,0.015410,0.000095
249,0.017396,0.000098
250,0.021305,0.000147
251,0.017580,0.000105
252,0.017592,0.000228
253,0.018629,0.000143
254,0.016644,0.000166
255,0.014883,0.000031
256,0.018216,0.000207
257,0.017188,0.000187
258,0.016021,0.000121
259,0.017146,0.000188
260,0.015454,0.000166
261,0.016205,0.000320
262,0.016490,0.000190
263,0.019553,0.000259
264,0.016328,0.000209
265,0.019874,0.000057
266,0.021098,0.000216
267,0.020838,0.000378
268,0.019687,0.000249
269,0.016176,0.000175
270,0.016213,0.000261
271,0.015220,0.000032
272,0.015864,0.000224
273,0.015990,0.000163
274,0.016512,0.000154
275,0.017875,0.000239
276,0.017844,0.000081
277,0.022080,0.000216
278,0.020066,0.000152
279,0.016558,0.000162
280,0.021310,0.000042
281,0.020220,0.000140
282,0.018070,0.000304
283,0.019239,0.000230
284,0.015964,0.000046
285,0.015317,0.000034
286,0.014951,0.000086
287,0.018708,0.000126
288,0.014993,0.000121
289,0.015626,0.000230
290,0.014995,0.000136
291,0.015259,0.000106
292,0.014691,0.000188
293,0.014578,0.000124
294,0.018456,0.000217
295,0.014803,0.000183
296,0.015359,0.000188
297,0.014491,0.000225
298,0.014781,0.000098
299,0.014767,0.000156
300,0.014817,0.000063
301,0.015523,0.000068
302,0.018775,0.000166
303,0.015318,0.000186
304,0.014570,0.000069
305,0.014489,0.000114
306,0.015017,0.000156
307,0.015246,0.000066
308,0.014702,0.000202
309,0.018752,0.000113
310,0.014021,0.000107
311,0.014184,0.000131
312,0.014799,0.000161
313,0.013820,0.000041
314,0.014807,0.000138
315,0.015320,0.000154
316,0.018104,0.000218
317,0.015496,0.000170
318,0.014824,0.000171
319,0.014794,0.000246
320,0.014878,0.000148
321,0.017329,0.000154
322,0.015472,0.000159
323,0.018688,0.000168
324,0.020305,0.000194
325,0.017087,0.000170
326,0.016296,0.000151
327,0.014523,0.000159
328,0.014797,0.000246
329,0.013736,0.000041
330,0.015288,0.000133
331,0.014696,0.000097
332,0.014847,0.000121
333,0.014937,0.000153
334,0.017774,0.000182
335,0.015823,0.000167
336,0.014899,0.000176
337,0.017567,0.000146
338,0.015722,0.000166
339,0.015216,0.000106
340,0.015815,0.000048
341,0.014988,0.000070
342,0.014828,0.000094
343,0.015266,0.000214
344,0.015883,0.000130
345,0.016945,0.000199
346,0.015688,0.000159
347,0.015327,0.000150
348,0.014993,0.000107
349,0.015511,0.000267
350,0.014807,0.000164
351,0.014680,0.000151
352,0.018916,0.000258
353,0.015153,0.000095
354,0.014459,0.000054
355,0.015007,0.000041
356,0.014848,0.000029
357,0.013867,0.000168
358,0.014669,0.000079
359,0.017315,0.000206
360,0.016930,0.000104
361,0.015241,0.000113
362,0.015824,0.000018
363,0.015006,0.000056
364,0.014904,0.000139
365,0.014752,0.000174
366,0.015655,0.000233
367,0.018334,0.000142
368,0.016345,0.000024
369,0.018349,0.000136
370,0.016405,0.000106
371,0.015595,0.000041
372,0.015699,0.000156
373,0.014559,0.000162
374,0.017887,0.000137
375,0.014416,0.000096
376,0.014798,0.000293
377,0.014654,0.000064
378,0.015661,0.000189
379,0.014492,0.000042
380,0.014755,0.000043
381,0.016051,0.000058
382,0.016221,0.000056
383,0.014806,0.000093
384,0.015186,0.000108
385,0.015709,0.000169
386,0.014896,0.000109
387,0.016065,0.000068
388,0.015170,0.000154
389,0.017120,0.000121
390,0.014796,0.000150
391,0.015268,0.000108
392,0.015055,0.000181
393,0.014946,0.000156
394,0.014846,0.000173
395,0.014770,0.000215
396,0.017334,0.000038
397,0.016106,0.000047
398,0.014564,0.000016
399,0.014667,0.000153
400,0.014923,0.000054
401,0.014791,0.000047
402,0.014866,0.000099
403,0.013786,0.000123
404,0.018712,0.000076
405,0.014803,0.000133
406,0.015117,0.000050
407,0.014441,0.000096
408,0.014857,0.000104
409,0.014865,0.000151
410,0.015113,0.000058
411,0.015430,0.000033
412,0.017006,0.000176
413,0.015016,0.000085
414,0.014586,0.000041
415,0.014786,0.000045
416,0.015088,0.000145
417,0.015190,0.000165
418,0.013966,0.000081
419,0.018216,0.000191
420,0.016128,0.000044
421,0.015386,0.000048
422,0.014896,0.000121
423,0.015137,0.000097
424,0.015553,0.000184
425,0.015731,0.000120
426,0.015765,0.000171
427,0.017990,0.000047
428,0.015634,0.000171
429,0.014911,0.000049
430,0.015646,0.000097
431,0.014970,0.000104
432,0.015319,0.000205
433,0.015443,0.000052
434,0.019025,0.000275
435,0.015362,0.000093
436,0.015600,0.000167
437,0.014803,0.000054
438,0.014912,0.000040
439,0.014979,0.000118
440,0.014446,0.000154
441,0.016702,0.000113
442,0.016156,0.000124
443,0.014995,0.000165
444,0.014976,0.000092
445,0.015211,0.000149
446,0.015345,0.000033
447,0.014845,0.000038
448,0.015394,0.000047
449,0.018092,0.000151
450,0.015195,0.000165
451,0.014734,0.000027
452,0.014923,0.000172
453,0.014674,0.000270
454,0.015892,0.000091
455,0.015311,0.000069
456,0.017147,0.000053
457,0.016450,0.000256
458,0.014826,0.000090
459,0.014629,0.000168
460,0.015077,0.000106
461,0.014600,0.000191
462,0.015316,0.000167
463,0.015251,0.000053
464,0.017995,0.000163
465,0.021272,0.000165
466,0.015867,0.000198
467,0.014786,0.000218
468,0.017136,0.000130
469,0.014459,0.000106
470,0.015326,0.000184
471,0.017500,0.000106
472,0.016563,0.000172
